org_id,org_name,current_category,proposed_category,status,rationale
6309,Power Grid Corporation Of India Limited,Transmission Utility,CPSU,USER_CONFIRMED_OVERRIDE,"Power Grid Corporation Of India Limited -- function IS transmission; Transmission Utility is the more specific, already-correct category per CPSU's own design principle. Proposed anyway because you explicitly confirmed this one directly -- flagged so the conflict with CPSU's own stated design principle is visible before you apply it."
6312,"POWERGRID WRTS-I, Nagpur",Transmission Utility,CPSU,USER_CONFIRMED_OVERRIDE,"POWERGRID WRTS-I, Nagpur -- same reasoning as Power Grid itself. Proposed anyway because you explicitly confirmed this one directly -- flagged so the conflict with CPSU's own stated design principle is visible before you apply it."
6313,"POWERGRID WRTS-II, Vadodara",Transmission Utility,CPSU,USER_CONFIRMED_OVERRIDE,"POWERGRID WRTS-II, Vadodara -- same reasoning as Power Grid itself. Proposed anyway because you explicitly confirmed this one directly -- flagged so the conflict with CPSU's own stated design principle is visible before you apply it."
6300,NTPC Mumbai Head Quarter (WR-1),Thermal,(no change),EXCLUDED_BY_DESIGN,"NTPC generating station -- reclassify_organization_types.py deliberately classified NTPC's WR stations by fuel type (Thermal), not by CPSU ownership (see NTPC_THERMAL_IDS in that script's docstring) -- moving to CPSU would undo that deliberate, more specific classification."
6301,NTPC Raipur Head Quarter (WR-2),Thermal,(no change),EXCLUDED_BY_DESIGN,"NTPC generating station -- reclassify_organization_types.py deliberately classified NTPC's WR stations by fuel type (Thermal), not by CPSU ownership (see NTPC_THERMAL_IDS in that script's docstring) -- moving to CPSU would undo that deliberate, more specific classification."
6311,NTPC,Thermal,(no change),EXCLUDED_BY_DESIGN,"NTPC generating station -- reclassify_organization_types.py deliberately classified NTPC's WR stations by fuel type (Thermal), not by CPSU ownership (see NTPC_THERMAL_IDS in that script's docstring) -- moving to CPSU would undo that deliberate, more specific classification."
6349,NTPC Gandhar,Thermal,(no change),EXCLUDED_BY_DESIGN,"NTPC generating station -- reclassify_organization_types.py deliberately classified NTPC's WR stations by fuel type (Thermal), not by CPSU ownership (see NTPC_THERMAL_IDS in that script's docstring) -- moving to CPSU would undo that deliberate, more specific classification."
6350,NTPC Kawas,Thermal,(no change),EXCLUDED_BY_DESIGN,"NTPC generating station -- reclassify_organization_types.py deliberately classified NTPC's WR stations by fuel type (Thermal), not by CPSU ownership (see NTPC_THERMAL_IDS in that script's docstring) -- moving to CPSU would undo that deliberate, more specific classification."
6351,NTPC Mauda,Thermal,(no change),EXCLUDED_BY_DESIGN,"NTPC generating station -- reclassify_organization_types.py deliberately classified NTPC's WR stations by fuel type (Thermal), not by CPSU ownership (see NTPC_THERMAL_IDS in that script's docstring) -- moving to CPSU would undo that deliberate, more specific classification."
6352,NTPC Solapur,Thermal,(no change),EXCLUDED_BY_DESIGN,"NTPC generating station -- reclassify_organization_types.py deliberately classified NTPC's WR stations by fuel type (Thermal), not by CPSU ownership (see NTPC_THERMAL_IDS in that script's docstring) -- moving to CPSU would undo that deliberate, more specific classification."
6353,NTPC Gadarwara,Thermal,(no change),EXCLUDED_BY_DESIGN,"NTPC generating station -- reclassify_organization_types.py deliberately classified NTPC's WR stations by fuel type (Thermal), not by CPSU ownership (see NTPC_THERMAL_IDS in that script's docstring) -- moving to CPSU would undo that deliberate, more specific classification."
6354,NTPC Khargone,Thermal,(no change),EXCLUDED_BY_DESIGN,"NTPC generating station -- reclassify_organization_types.py deliberately classified NTPC's WR stations by fuel type (Thermal), not by CPSU ownership (see NTPC_THERMAL_IDS in that script's docstring) -- moving to CPSU would undo that deliberate, more specific classification."
6355,NTPC Korba,Thermal,(no change),EXCLUDED_BY_DESIGN,"NTPC generating station -- reclassify_organization_types.py deliberately classified NTPC's WR stations by fuel type (Thermal), not by CPSU ownership (see NTPC_THERMAL_IDS in that script's docstring) -- moving to CPSU would undo that deliberate, more specific classification."
6356,NTPC Lara,Thermal,(no change),EXCLUDED_BY_DESIGN,"NTPC generating station -- reclassify_organization_types.py deliberately classified NTPC's WR stations by fuel type (Thermal), not by CPSU ownership (see NTPC_THERMAL_IDS in that script's docstring) -- moving to CPSU would undo that deliberate, more specific classification."
6357,NTPC Sipat,Thermal,(no change),EXCLUDED_BY_DESIGN,"NTPC generating station -- reclassify_organization_types.py deliberately classified NTPC's WR stations by fuel type (Thermal), not by CPSU ownership (see NTPC_THERMAL_IDS in that script's docstring) -- moving to CPSU would undo that deliberate, more specific classification."
6358,NTPC Vindhyachal,Thermal,(no change),EXCLUDED_BY_DESIGN,"NTPC generating station -- reclassify_organization_types.py deliberately classified NTPC's WR stations by fuel type (Thermal), not by CPSU ownership (see NTPC_THERMAL_IDS in that script's docstring) -- moving to CPSU would undo that deliberate, more specific classification."
6377,NTPC Kawas Solar PV Project,RE Generators,(no change),EXCLUDED_BY_DESIGN,"Central-PSU renewable-generation subsidiary -- function is RE generation; RE Generators is the correct functional category, same reasoning as the Thermal stations above."
6378,NTPC Jhanor - Gandhar Solar PV Project,RE Generators,(no change),EXCLUDED_BY_DESIGN,"Central-PSU renewable-generation subsidiary -- function is RE generation; RE Generators is the correct functional category, same reasoning as the Thermal stations above."
6399,NTPC Renewable Energy Limited Shajapur Unit-1,RE Generators,(no change),EXCLUDED_BY_DESIGN,"Central-PSU renewable-generation subsidiary -- function is RE generation; RE Generators is the correct functional category, same reasoning as the Thermal stations above."
6400,NTPC Renewable Energy Limited Shajapur Unit-2,RE Generators,(no change),EXCLUDED_BY_DESIGN,"Central-PSU renewable-generation subsidiary -- function is RE generation; RE Generators is the correct functional category, same reasoning as the Thermal stations above."
6401,NTPC Renewable Energy Ltd (Dayapar WEP-Ph-1),RE Generators,(no change),EXCLUDED_BY_DESIGN,"Central-PSU renewable-generation subsidiary -- function is RE generation; RE Generators is the correct functional category, same reasoning as the Thermal stations above."
6407,SJVN Green Energy Limited,RE Generators,(no change),EXCLUDED_BY_DESIGN,"Central-PSU renewable-generation subsidiary -- function is RE generation; RE Generators is the correct functional category, same reasoning as the Thermal stations above."
6458,NTPC-SAIL Power Company Private Limited (NSPCL),Others,CPSU?,AMBIGUOUS,"NTPC-SAIL joint venture -- IS a generation company by function (name says 'Power Company'), and only partially NTPC-owned (JV with SAIL), so it doesn't cleanly fit CPSU's 'not generation/transmission/distribution' definition either. Could arguably be Generation Company instead -- your call."
6499,NTPC Vidyut Vyapar Nigam Limited,Others,CPSU,CONFIRM,NTPC's trading subsidiary -- no generation/transmission/distribution function of its own; this is the exact example reclassify_organization_types.py's own docstring names for CPSU.
6496,Heavy Water Board,Others,CPSU?,LOW_CONFIDENCE,"Heavy Water Board -- Dept. of Atomic Energy government body, not an incorporated PSU in the usual sense."
6495,BARC Facility,Others,CPSU?,LOW_CONFIDENCE,"BARC Facility -- Bhabha Atomic Research Centre, a DAE research institution, not an incorporated PSU."
6498,National High Power Test Laboratory,Others,CPSU?,LOW_CONFIDENCE,"National High Power Test Laboratory -- a joint testing-lab entity promoted by several central PSUs collectively (CPRI/NTPC/PGCIL/DVC/NPCIL), not itself a single central PSU."
