table,row_id,field,old_value,new_value,reason,timestamp
directory_numbers,(schema),"switch_yard, control_room, ip_address",columns did not exist,"columns added (switch_yard BOOLEAN DEFAULT false, control_room BOOLEAN DEFAULT false, ip_address VARCHAR(45))","Applied migrations/014_directory_number_contact_fields.sql -- the model already referenced these columns, causing 500 errors on /email-lists and /telephone-directory.",2026-08-26
organizations,6359,category_id,17 (Others),20 (Nuclear),Tarapur Atomic Power Station Stg-1 & 2: parent org 'Nuclear Power Stations In Western Region' is correctly categorized Nuclear; this child had defaulted to Others on import and was never reclassified.,2026-08-26
organizations,6360,category_id,17 (Others),20 (Nuclear),Tarapur Atomic Power Station Stg-3 & 4: parent org 'Nuclear Power Stations In Western Region' is correctly categorized Nuclear; this child had defaulted to Others on import and was never reclassified.,2026-08-26
organizations,6361,category_id,17 (Others),20 (Nuclear),Kakrapar Atomic Power Station Stg-1 & 2: parent org 'Nuclear Power Stations In Western Region' is correctly categorized Nuclear; this child had defaulted to Others on import and was never reclassified.,2026-08-26
organizations,6362,category_id,17 (Others),20 (Nuclear),Kakrapar Atomic Power Station Stg-3 & 4: parent org 'Nuclear Power Stations In Western Region' is correctly categorized Nuclear; this child had defaulted to Others on import and was never reclassified.,2026-08-26
organizations,6314,category_id,Others,RLDC,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6349,category_id,Others,Thermal,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6350,category_id,Others,Thermal,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6352,category_id,Others,Thermal,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6363,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6364,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6365,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6366,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6367,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
organizations,6368,category_id,Others,RE Generators,"Bulk fix: child organization's category defaulted to Others on import while its parent already held a specific, correct category; verified safe because the parent is a real category (not a generic grouping bucket) and the child had no independently-assigned category of its own.",2026-08-26
