child_id,child_name,current_category,parent,parent_category,ambiguity_reason
6503,"Office: Executive Director (Transmission)",Others,Chhattisgarh State Load Despatch Centre,State SLDC,"Looks like an office/designation-title fragment (starts with 'Office:'), not a real organization name -- possibly an import artifact rather than a distinct entity."
6504,"Office: The Chief Engineer (Sub-Station) CSPTCL, Raipur",Others,Chhattisgarh State Load Despatch Centre,State SLDC,"Same pattern as 6503 -- an office/title fragment, not obviously a real organization."
6505,"Address: Vidhut Siva Bhavan 5th Floor CSEB, Power Company Campus, Dangania",Others,Chhattisgarh State Load Despatch Centre,State SLDC,"Literal postal-address text (starts with 'Address:'), not an organization name -- looks like address content that got imported as if it were a distinct org."
6506,"Vidyut Bhavan, 3rd Floor, Panaji, Goa-403 001",Others,Goa Electricity Department,State SLDC,"Reads as a postal address (building name, floor, city, PIN), not an organization name -- same pattern as 6505 without the 'Address:' prefix."
6347,"MP Power Management CO. LTD.",Others,Madhya Pradesh State Load Despatch Centre,State SLDC,"Real, named company -- but a power management/trading company is arguably its own category (e.g. a DISCOM or trading entity), not 'State SLDC' by inheritance. Needs a judgment call, not an automatic parent-match."
6348,"Madhya Pradesh Power Generation Company Limited",Generation Company,Madhya Pradesh State Load Despatch Centre,State SLDC,"Already has a specific, plausible category (Generation Company) -- likely already correct as-is. Flagged only because it differs from its parent; probably needs NO change."
6343,"Maharashtra State Electricity Transmission Co. Ltd.",Transmission Utility,Maharashtra State Load Despatch Centre,State SLDC,"Already has a specific, plausible category (Transmission Utility, i.e. MSETCL) -- likely already correct as-is. Flagged only because it differs from its parent; probably needs NO change."
6344,"State Load Despatch Centre, MSETCL",Others,Maharashtra State Load Despatch Centre,State SLDC,"Name suggests this might BE the same real-world entity as the parent (Maharashtra SLDC) under a slightly different name, i.e. a possible duplicate organization rather than a true child needing its own category."
6345,"Area Load Despatch Centre, MSETCL,",Others,Maharashtra State Load Despatch Centre,State SLDC,"Real-sounding sub-office name, but the trailing comma suggests possible import truncation. Unclear whether this deserves State SLDC, its own category, or cleanup as a fragment."
6346,"Maharashtra State Electricity Distribution Co. Ltd.",Others,Maharashtra State Load Despatch Centre,State SLDC,"Real, named company (MSEDCL) -- clearly a distribution company (DISCOM), not a State SLDC. Currently 'Others'; the correct fix is likely a DISCOM-type category, not inheriting the parent's State SLDC category."
6502,"Kalwa, Thane-Belapur",Others,Maharashtra State Load Despatch Centre,State SLDC,"Reads as a location/address fragment (place names only, no company/entity name), not an organization name."
