org_id,current_app_address_restored,word_proposed_address,assessment
6351,"NTPC Mouda STPP, Mouda-Ramtek Road, P.O. Mouda, Dist. Nagpur, Maharashtra - 441104","NTPC Mouda STPP, Mouda-Ramtek Road, P.O. Mouda, Distt.-Nagpur, Maharashtra-441104",minor rewording only
6355,"NTPC Korba STPP, P.O. Vikash Bhawan, Jamnipali, Dist. Korba, Chhattisgarh - 495450","NTPC Korba STPP, P.O. Vikash Bhawan, Jamnipali, Distt.-Korba, Chhattisgarh-495450",minor rewording only
6357,"NTPC Sipat Super Thermal Power Station, Bilaspur, Chhattisgarh - 495555","NTPC Sipat STPP, P.O. Ujwal Nagar, Distt. Bilaspur, Chhattisgarh-495555",Word version adds locality detail (P.O. Ujwal Nagar) -- plausibly more precise
6358,"NTPC Vindhyachal STPP, P.O. Vindhyanagar, Waidhan, Dist. Singrauli, Madhya Pradesh - 486885","NTPC Vindhyachal STPP, P.O. Vindhyanagar - Waidhan Rd, Dist: Waidhan, Madhya Pradesh-486885","CAUTION: district changed from Singrauli to Waidhan -- Waidhan is a town within Singrauli district, so Word may be using non-standard terminology; verify before choosing"
6352,"NTPC Solapur STPS, Post Hotgi Station, South Solapur, Maharashtra - 413215","NTPC Solapur STPS, Post Hotgi Station Maharashtra South Solapur 413215","Word version LOST all punctuation -- strictly worse formatting, same content"
6499,"1st Floor, Core-5, SCOPE Complex, Lodhi Road, New Delhi - 110003",1st Floor Core 5 Scope Complex Lodhi Road New Delhi 110003,"Word version LOST all punctuation -- strictly worse formatting, same content"
6494,"27th KM, Surat Hazira Road, Hazira, Surat, Gujarat - 394270","27th KM, Surat Hazira Road, Gujarat Surat 394270","Word version dropped a locality word (Hazira) and reordered -- worse, not better"
6495,"Bhabha Atomic Research Centre, Trombay, Mumbai, Maharashtra - 400085","TRP Nuclear Recycle Board, BARC, Tarapur, Mahatashtra Mumbai 401502","WRONG LOCATION: different facility, different city (Tarapur vs Trombay), different PIN entirely -- do not use Word value"
6496,"Heavy Water Board, Vikram Sarabhai Bhavan, Anushaktinagar, Mumbai - 400094","Department of Atomic Energy, V. S. Bhavan, Anushaktinagar, Mumbai- 400094","Same location/PIN, just generalizes the org reference in the text -- low-stakes either way"
6498,"NHPTL, CSIR Campus, Taramani, Chennai - 600113","POWERGRID Complex, 765/400/220KV Sub-Station Khimlasa Road,Bina, Dist-Sagar-470113 Madhya Pradesh",WRONG LOCATION: entirely different city/state and PIN (Chennai vs Madhya Pradesh) -- do not use Word value
6359,"Tarapur Atomic Power Station, P.O. TAPP, Boisar, Palghar, Maharashtra - 401504","NPCIL, PO: TAPP, Boisar (WR), Dist. Palghar, Maharashtra, PIN: 401504.","Same location/PIN, reworded org reference to NPCIL (the parent company) -- low-stakes"
6360,"Tarapur Atomic Power Station, P.O. TAPP, Boisar, Palghar, Maharashtra - 401504","NPCIL, PO: TAPP, Boisar (WR), Dist. Palghar, Maharashtra, PIN : 401504.",Same as 6359
6361,"Kakrapar Atomic Power Station, P.O. Anumala, Vyara, Surat, Gujarat - 394651","NPCIL, Post Office: Anumala, Surat , Gujrat, PIN : 394651","Same location/PIN, but Word introduces a typo (Gujrat) -- original is cleaner"
6362,"Kakrapar Atomic Power Station, P.O. Anumala, Vyara, Surat, Gujarat - 394651","NPCIL, Post Office: Anumala, Surat , Gujrat, PIN : 394651",Same as 6361
6353,"NTPC Gadarwara Super Thermal Power Project, Narsinghpur, Madhya Pradesh - 487001","NTPC Gadarwara Super Thermal Power Project, Narsinghpur, Madhya Pradesh-487 001.",Cosmetic PIN-spacing difference only
6354,"NTPC Khargone Super Thermal Power Project, Vishnupuri, Khandwa Road, Khargone, Madhya Pradesh - 451001","NTPC Khargone Super Thermal Power Project, Vishnupuri, Khandwa Road, Khargone, Madhya Pradesh-451 001",Cosmetic PIN-spacing difference only
6349,"NTPC Gandhar Gas Power Project, P.O.: NTPC Township, Dist. Bharuch, Gujarat - 392220","NTPC Gandhar Gas Power Project, P.O.: NTPC township, Dist. Bharuch, Gujarat- 392215",CAUTION: PIN code differs (392220 vs 392215) -- verify which is correct before choosing
